[     320ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=284997e9:14337
[     414ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777961970790:19
[     415ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777961970790:19
[   20135ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777962027310:19
[   20136ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777962027310:19
[   20141ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777962027310:19
[   20142ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777962027310:19
[  155971ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777962163104:19
[  155972ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777962163104:19
[  155984ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777962163104:19
[  155987ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777962163104:19
[  157010ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777962163104:19
[  157011ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777962163104:19
[  157014ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777962163104:19
[  157014ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777962163104:19
[  261205ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777962163104:19
[  261207ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777962163104:19
[  277819ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777962163104:19
[  277820ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777962163104:19
[  293641ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777962300832:19
[  293643ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777962300832:19
